"segmentLabels__BUILDING","segmentLabels__VALUE","segmentLabels__BUSINESS","segmentLabels__CHECKIN","segmentLabels__LOCATION","segmentLabels__FOOD","segmentLabels__CLEANLINESS","segmentLabels__ROOMS","segmentLabels__SERVICE","segmentLabels__NOTRELATED","annotatorId","ratingOverall","ratingRoom","author","hotelId","reviewId","ratingLocation","ratingCleanliness","ratingService","ratingBusiness","ratingValue","segmentLabels__OTHER","date","ratingCheckin","segments"
"","","","","","","","","","","","","","","","","","","","","","","","","He should have been the one to resolve the matter."
"","","","","","","","","in","","","","","","","","","","","","","","","","Finally the housekeeper returned to the room to give fresh towels and empty the garbage pails, were left empy."
"","","","","","","","","n","","","","","","","","","","","","","","","","She left a roll of gabage bags on the bathroom sink, I guess that was for me to do.Overall, I did not care for the service that I recieved."
"","n","","","","","n","","","","","","","","","","","","","","","","","","The room had an odor ( it's a good thing I brought the febreeze), and next time I think I'll spend the extra money and get something decent because this hotel was far from it."
"","","","","p","","","","","","2","5","-1","upstategal_8","233863","233863:6","-1","-1","-1","-1","-1","p","Jun 3, 2008","-1","Great hotel Hotel was conveniently located steps from a subway station and key bus routes."
"","","","","","","","","p","","","","","","","","","","","","","","","","Desk staff was friendly and very helpful at booking tours and providing directions."
"","","","","","","","n","","","","","","","","","","","","","","","","","Only downside was lack of air conditioning in rooms, but in May, it was fine and could open windows to let cool air in when it got warm."
"","","","","","p","","","","","","","","","","","","","","","","","","","Breakfast had a lot of variety and was very good! Would definitely stay there again!"
"","","","","","","","","","","1","5","5","Joots","281838","281838:8","5","5","4","5","5","p","Jul 29, 2008","5","Great Place We stayed here for 4 nights, and the experience was excellent."
"","","","","","","","p","","","","","","","","","","","","","","","","","For euro hotels the room was spacious and kept to a high standard."
"","","","","","","","in","","","","","","","","","","","","","","","","","Only minor point was that they are strict about no ironing in the room and no in room tea/coffee in normal double rooms."
"","","","","","","","","","","","","","","","","","","","","","ip","","","However if you are travelling with a laptop they provide free internet in the rooms (decent speed ~2mbps) ask at reception for pass code."
"","","","","ip","","","","","","","","","","","","","","","","","","","","Its less than a 5min walk from the station, so is a perfect base for visiting florence and surrounding towns/cities."
"","","","","","","","","","p","","","","","","","","","","","","","","","The italian train system is cheap and v.reliable."
"","","","","","","","","","","","","","","","","","","","","","","","","While there we visitied places like Pisa (1hr) and Viareggio (beaches 1hr 20mins) by train."
"","","","","","","","","p","","","","","","","","","","","","","","","","Also the staff are very friendly and it is based near a variety of restaurants/bars and clubs."
"","","","","p","","","n","","","2","3","2","BunkoRT","111418","111418:22","4","2","4","3","3","","Sep 29, 2008","4","Great location, rooms questionable"
"","","","","","","","","","","","","","","","","","","","","","p","","","My husband and I stayed here during a conference last week and it was alright."
"","","","","","","","","p","","","","","","","","","","","","","","","","The concierge was very informative and the front staff very polite."
"","","","","","","n","","","","","","","","","","","","","","","","","","The room cleaning was questionable though as they did not remove empty water bottles the whole time we stayed."
"","","","","","","n","","","","","","","","","","","","","","","","","","They also only dumped the garbage, they did not replace the lining."
"","","","","","","in","","","","","","","","","","","","","","","","","","I think that towels were just refolded and replaced instead of giving new towels."
"","","","","","","","x","","","","","","","","","","","","","","","","","The showers were actually very small although there was excellent pressure from the showerhead."
"","","","","","","","","n","","","","","","","","","","","","","","","","We didn't dine at the hotel, although we heard firsthand that there was one restaurant that was very slow in service (main course took 2 hours)."
"","","","","p","","","","","","","","","","","","","","","","","","","","The location of this hotel was good, the subway station was not too far away."
"","","","","","","","","","","","","","","","","","","","","","in","","","If I had to go to Boston again, I may look elsewhere to stay."
"","","","","","","","","","","0","4","3","Kearnz","84455","84455:47","4","5","5","5","5","p","Aug 12, 2006","5","Good hotel Me and three other people stayed at this hotel in early"
"","","","","","","","","","","","","","","","","","","","","","","","","August 2006."
"","","","","","","","","","","","","","","","","","","","","","","","","We arrived in our car after a long journey from Las Vegas, and we were very tired."
"","","","ip","","","","","ip","","","","","","","","","","","","","","","","After we arrived, the bell men took our luggage into the hotel, and our car was parked for us."
"","","","ip","","","","","ip","","","","","","","","","","","","","","","","We had requested connecting rooms when we booked and there were no problems at all with this."
"","","","","","","","","","in","","","","","","","","","","","","","","","We have stayed in numerous hotels before and more than half did not give us connecting rooms."
